iter	MultiClass
0	1.074550544
1	1.057863069
2	1.041731283
3	1.026105024
4	1.011975815
5	1.003387223
6	0.9965938238
7	0.9856577811
8	0.974785305
9	0.9692228105
10	0.960279193
11	0.9556204937
12	0.9488805458
13	0.9439923081
14	0.9369663039
15	0.9329460911
16	0.9288964639
17	0.9251587149
18	0.9199141697
19	0.9162718909
20	0.91366226
21	0.9102247943
22	0.9071194233
23	0.9047376461
24	0.900841241
25	0.8996810386
26	0.8967008928
27	0.8948838879
28	0.8929647827
29	0.8907982543
30	0.8884634709
31	0.8859890083
32	0.8852341685
33	0.8839560034
34	0.8821307601
35	0.8801650413
36	0.8785731537
37	0.8758478052
38	0.8716201924
39	0.8708396628
40	0.8687093885
41	0.8677749462
42	0.8665300294
43	0.8637839559
44	0.862153083
45	0.8600931082
46	0.8592793417
47	0.8577237219
48	0.856663753
49	0.856182488
50	0.8553023857
51	0.8532096468
52	0.8526719195
53	0.8518122762
54	0.8495414549
55	0.8487453727
56	0.8480311907
57	0.8468686496
58	0.8452399419
59	0.8426892162
60	0.8418010948
61	0.8413504446
62	0.8403325957
63	0.8396894388
64	0.8392257705
65	0.8377318157
66	0.837042019
67	0.8352231458
68	0.8349063088
69	0.8331425925
70	0.8326132124
71	0.8319030953
72	0.8310958677
73	0.8301649553
74	0.8291700698
75	0.8282669068
76	0.8269278506
77	0.8265033556
78	0.8258299137
79	0.8242930908
80	0.8241614084
81	0.8233180084
82	0.8228183835
83	0.8226086782
84	0.8217177728
85	0.8213026414
86	0.8204182831
87	0.8192788029
88	0.8189900027
89	0.8179901469
90	0.8166869112
91	0.8149001263
92	0.8141442942
93	0.8135952292
94	0.8132890177
95	0.8119277426
96	0.8112161281
97	0.8102623347
98	0.8099650832
99	0.8095932023
100	0.8085104285
101	0.8076891201
102	0.8064435615
103	0.8060850431
104	0.8056000055
105	0.8051864907
106	0.8036634814
107	0.8033287328
108	0.8022124931
109	0.800674914
110	0.7990368595
111	0.797785455
112	0.7970594705
113	0.7957089746
114	0.7953692756
115	0.7944312844
116	0.7935210172
117	0.7927144411
118	0.7924134572
119	0.7921071792
120	0.7914873468
121	0.7908904447
122	0.7898985753
123	0.7888588666
124	0.7876464075
125	0.786930531
126	0.7857105223
127	0.7841464309
128	0.7838269223
129	0.7831521348
130	0.7823988651
131	0.7812559176
132	0.7797798626
133	0.779375952
134	0.7785548544
135	0.7778221269
136	0.7773979965
137	0.7760642435
138	0.7758627544
139	0.7753915269
140	0.7747470082
141	0.7741943887
142	0.7736462182
143	0.7733595002
144	0.7727858639
145	0.7722998143
146	0.7717552534
147	0.7709465394
148	0.7707157673
149	0.7702200314
150	0.7694563732
151	0.7688908833
152	0.7684229175
153	0.7682670681
154	0.7676587336
155	0.7672532199
156	0.766738126
157	0.766245123
158	0.7660073695
159	0.7651644053
160	0.7647935367
161	0.7645777676
162	0.7641822472
163	0.7635087225
164	0.7631945445
165	0.762789038
166	0.7618126871
167	0.7615121016
168	0.7609552932
169	0.7602154359
170	0.7599865423
171	0.7594773563
172	0.7590122936
173	0.7585080895
174	0.7581331712
175	0.757668645
176	0.7571143399
177	0.7568884479
178	0.7562299368
179	0.755107486
180	0.7547092171
181	0.7543795424
182	0.7534784992
183	0.7533404509
184	0.7531779962
185	0.7530699266
186	0.7529140945
187	0.7521136875
188	0.7516141497
189	0.7512712303
190	0.7510141165
191	0.7503855629
192	0.7497426986
193	0.7493400542
194	0.7486977901
195	0.7480213029
196	0.7476425821
197	0.7474787663
198	0.7466200257
199	0.7464317933
200	0.7462021435
201	0.7457041648
202	0.7452412952
203	0.7449314188
204	0.7441864311
205	0.7435329943
206	0.7430642643
207	0.7427671579
208	0.7425369239
209	0.7424543318
210	0.7419611755
211	0.741791382
212	0.7415881615
213	0.7413189871
214	0.7412120522
215	0.7408570439
216	0.7405069053
217	0.7403619192
218	0.7402226509
219	0.7399399669
220	0.7395142191
221	0.7393994198
222	0.7390849537
223	0.738765636
224	0.7384781001
225	0.7381893619
226	0.7380440187
227	0.7376477436
228	0.7374219461
229	0.7373109058
230	0.7370685149
231	0.7367223566
232	0.7361014383
233	0.7358398434
234	0.7356253769
235	0.735290374
236	0.7347495929
237	0.7344660043
238	0.73432408
239	0.7340268574
240	0.7334895914
241	0.7332280607
242	0.7330420451
243	0.7327910535
244	0.7325680435
245	0.7322533182
246	0.7318840793
247	0.7317875347
248	0.7314032358
249	0.7311484657
250	0.7310301308
251	0.730921633
252	0.7307559242
253	0.7303615357
254	0.7296059935
255	0.729436675
256	0.7292790606
257	0.7289860495
258	0.7286758864
259	0.7284526741
260	0.7283357834
261	0.7279306219
262	0.7278147363
263	0.7276235563
264	0.7274626703
265	0.7272022285
266	0.7270944645
267	0.7268872028
268	0.7266057812
269	0.7262980781
270	0.7260658137
271	0.7257409027
272	0.725669153
273	0.7253918632
274	0.7252916236
275	0.7247704877
276	0.7245441984
277	0.7242126823
278	0.7238214044
279	0.7236233324
280	0.7233447513
281	0.7230773364
282	0.7229570313
283	0.7227489676
284	0.7224329977
285	0.7222847038
286	0.7220137703
287	0.7217555249
288	0.721551189
289	0.7213633667
290	0.7211848361
291	0.7210479607
292	0.7209084647
293	0.720767873
294	0.7206431248
295	0.7203718244
296	0.7201908033
297	0.720064032
298	0.7199009491
299	0.719534617
300	0.7193624447
301	0.7190631764
302	0.7189199288
303	0.7188096905
304	0.7185847553
305	0.7183841681
306	0.7183034552
307	0.7181401286
308	0.7179896674
309	0.7179099904
310	0.7177201028
311	0.7175670014
312	0.7174067107
313	0.7172638521
314	0.7169854983
315	0.7167776599
316	0.7166178897
317	0.7164203713
318	0.7162556172
319	0.7160509778
320	0.7157600766
321	0.7155904634
322	0.7154808781
323	0.7152637499
324	0.7151025096
325	0.7149972476
326	0.7147664721
327	0.7144844328
328	0.7143365413
329	0.7141465815
330	0.7139220786
331	0.7137366235
332	0.7135827501
333	0.7134458274
334	0.7133086668
335	0.7131579437
336	0.7130429753
337	0.7127964347
338	0.7126669845
339	0.7125289494
340	0.7122962896
341	0.7120154043
342	0.7117563466
343	0.7114073006
344	0.7112596107
345	0.7110713802
346	0.7110028401
347	0.7108362139
348	0.7106892473
349	0.7105054569
350	0.7103300261
351	0.7102097191
352	0.7099941279
353	0.7098352654
354	0.7097178926
355	0.7096497746
356	0.7095056676
357	0.7093146579
358	0.7091125001
359	0.7088659297
360	0.7087339319
361	0.7086216591
362	0.7084617758
363	0.7081429689
364	0.7079933981
365	0.7077729033
366	0.7075234917
367	0.7072692025
368	0.7071375655
369	0.7070070416
370	0.7068284245
371	0.7066776892
372	0.7065490946
373	0.7064620808
374	0.7063886669
375	0.7061777841
376	0.7059921942
377	0.7058170231
378	0.7055434556
379	0.7053666106
380	0.7051148587
381	0.7050079943
382	0.7047797895
383	0.7046754335
384	0.7044578706
385	0.7043069043
386	0.7041058996
387	0.7038913202
388	0.7037472739
389	0.7036155819
390	0.7033962422
391	0.7032380322
392	0.7031133806
393	0.7030408847
394	0.7029035963
395	0.7027490053
396	0.7026264059
397	0.7024341505
398	0.7023647649
399	0.7023013117
400	0.7021596804
401	0.7020842285
402	0.701868766
403	0.7018248724
404	0.701602784
405	0.7014832548
406	0.7009571013
407	0.7007696453
408	0.7006378001
409	0.7005800112
410	0.7004526639
411	0.7003744057
412	0.7002412866
413	0.700122223
414	0.700019338
415	0.6999060382
416	0.6995488078
417	0.6994647754
418	0.6993505693
419	0.6991697959
420	0.6989821537
421	0.6988824144
422	0.6987693216
423	0.6986998515
424	0.6985387888
425	0.6984484048
426	0.6983597573
427	0.6981308693
428	0.6977803697
429	0.6976614584
430	0.6975357055
431	0.6973097703
432	0.6970579806
433	0.6967607205
434	0.6965988586
435	0.6964111119
436	0.6962846373
437	0.6960727632
438	0.6959705589
439	0.6959282756
440	0.6956803325
441	0.6955783483
442	0.6954111103
443	0.6953328395
444	0.6949853925
445	0.6948624378
446	0.6948112071
447	0.6946677732
448	0.6945483971
449	0.6943666716
450	0.6943209526
451	0.6942329903
452	0.6940791812
453	0.6938695936
454	0.6936967156
455	0.6935833771
456	0.6932347931
457	0.6931085105
458	0.6930392689
459	0.692909672
460	0.6927096042
461	0.6924906993
462	0.6923193125
463	0.6922248284
464	0.6920462216
465	0.6918635486
466	0.691789547
467	0.6916896592
468	0.6915722631
469	0.6915045072
470	0.6913634903
471	0.6912399746
472	0.6910931995
473	0.6909024967
474	0.6907630761
475	0.6906584792
476	0.6905537968
477	0.6904453606
478	0.6903446052
479	0.6902337453
480	0.690161176
481	0.6900464762
482	0.6896556842
483	0.6895946372
484	0.689391854
485	0.6892081587
486	0.6890634285
487	0.6889107138
488	0.6886674841
489	0.6886159671
490	0.6885425885
491	0.6883194492
492	0.6882559506
493	0.6881723709
494	0.6879335692
495	0.6878249158
496	0.687637598
497	0.6875467327
498	0.6874371346
499	0.6873244415
500	0.6872234381
501	0.6870455727
502	0.6868624653
503	0.6867605774
504	0.6866143047
505	0.6865279555
506	0.6864160492
507	0.6863234429
508	0.6861756097
509	0.686034119
510	0.6858456441
511	0.6856687541
512	0.685518995
513	0.6853691904
514	0.6851891845
515	0.6850731285
516	0.6849021663
517	0.6847024628
518	0.684624088
519	0.6843121063
520	0.6842291019
521	0.6841550029
522	0.6840189581
523	0.6839260818
524	0.6837711827
525	0.6836199349
526	0.6836006141
527	0.6834553974
528	0.683319352
529	0.6832439724
530	0.6831236047
531	0.6829176486
532	0.6828131326
533	0.6827482457
534	0.682633299
535	0.6825239548
536	0.6824168042
537	0.6823347512
538	0.6822362649
539	0.682166574
540	0.6820769854
541	0.6819539102
542	0.6817996308
543	0.6816924741
544	0.681500686
545	0.6814442827
546	0.6813705071
547	0.6812964175
548	0.6810681414
549	0.6808669291
550	0.6807919092
551	0.6806989118
552	0.6805112793
553	0.6804062629
554	0.6802214031
555	0.6801713957
556	0.6799759745
557	0.6798377707
558	0.6797142694
559	0.6795966592
560	0.6795254503
561	0.6793375354
562	0.6792410426
563	0.6790455138
564	0.6789041979
565	0.6788221046
566	0.6787383989
567	0.678607015
568	0.6785265388
569	0.6783191638
570	0.6782136289
571	0.6779720669
572	0.6778217747
573	0.677714649
574	0.6775150135
575	0.677330399
576	0.6772473618
577	0.6771566722
578	0.6769334719
579	0.6768273756
580	0.6766622708
581	0.6765752819
582	0.6763935911
583	0.6763335001
584	0.6760224428
585	0.675938216
586	0.6758301853
587	0.6756834285
588	0.6756455948
589	0.6755207521
590	0.6753932813
591	0.6752032631
592	0.675139957
593	0.6750692349
594	0.6749863644
595	0.6749632484
596	0.6749001078
597	0.6747660421
598	0.6747121523
599	0.6746485931
600	0.6745320851
601	0.6744175244
602	0.6743265866
603	0.6742612364
604	0.6741571468
605	0.6740854896
606	0.673991703
607	0.6738897338
608	0.6737786357
609	0.6737022149
610	0.6735566083
611	0.6734882838
612	0.6733963311
613	0.6732973853
614	0.6732059589
615	0.6731306969
616	0.672888335
617	0.6727663053
618	0.6726257583
619	0.6724688013
620	0.6723453334
621	0.6722205739
622	0.6721060772
623	0.6720473109
624	0.6718938024
625	0.6717875178
626	0.6716528247
627	0.6715547743
628	0.6714348662
629	0.6713717257
630	0.6711774889
631	0.671079833
632	0.670897091
633	0.6708429293
634	0.670755922
635	0.6706968711
636	0.6705801439
637	0.6705354976
638	0.6704218758
639	0.6703101084
640	0.6702294025
641	0.6701071612
642	0.6699970781
643	0.6699509854
644	0.6698504879
645	0.6697062043
646	0.6694655495
647	0.6692879555
648	0.6691892052
649	0.6690435589
650	0.6689551432
651	0.6688393111
652	0.6686954795
653	0.6685835047
654	0.668462194
655	0.6684127435
656	0.6683661539
657	0.6682101468
658	0.6681164462
659	0.6680209967
660	0.6678899071
661	0.6678205745
662	0.6677627966
663	0.6676546955
664	0.6675010958
665	0.6674127921
666	0.6673283626
667	0.6672276282
668	0.6671213427
669	0.6669387539
670	0.6668585927
671	0.6665759491
672	0.6664725242
673	0.6662629796
674	0.666241414
675	0.6660967328
676	0.6659366305
677	0.6658453694
678	0.6657826609
679	0.665727984
680	0.66563086
681	0.6655377151
682	0.6654098455
683	0.665318543
684	0.6652662969
685	0.665126842
686	0.6649981893
687	0.6648728363
688	0.6647424933
689	0.6647151274
690	0.664562531
691	0.6644989575
692	0.6643494719
693	0.6642458899
694	0.6641253282
695	0.6639055319
696	0.6637442527
697	0.6637032108
698	0.6636083123
699	0.6635120861
700	0.6633485918
701	0.6631874226
702	0.6630432152
703	0.662960514
704	0.6627839412
705	0.6625518943
706	0.6624686308
707	0.6624187769
708	0.6623303248
709	0.6622520312
710	0.6621912422
711	0.6619718375
712	0.6618921151
713	0.6617293856
714	0.6616109623
715	0.6615054739
716	0.6614522681
717	0.661330888
718	0.6612489669
719	0.6611196627
720	0.6610395093
721	0.6609169084
722	0.6608109169
723	0.6607569784
724	0.6606195359
725	0.660479004
726	0.6602249495
727	0.6601057922
728	0.6600180077
729	0.6598956768
730	0.6598401643
731	0.6597189468
732	0.6596127063
733	0.6594911312
734	0.6594094546
735	0.6593197801
736	0.6592440976
737	0.6591408472
738	0.6591096945
739	0.6589930219
740	0.6589618294
741	0.6588900391
742	0.6588143695
743	0.658573827
744	0.6585189836
745	0.6584479233
746	0.6583692161
747	0.6583305893
748	0.6582059163
749	0.6580990462
750	0.6580128158
751	0.6579404317
752	0.6579045445
753	0.6578283496
754	0.6577454734
755	0.6575661336
756	0.6575046781
757	0.6574603345
758	0.6573719197
759	0.657291394
760	0.6571601612
761	0.6570908401
762	0.6569697147
763	0.6568544211
764	0.6568079969
765	0.6567122459
766	0.6565737943
767	0.6564677126
768	0.6564246114
769	0.65633806
770	0.6562724943
771	0.6561397006
772	0.6560313714
773	0.6559603976
774	0.6558679904
775	0.6557049883
776	0.6556271547
777	0.6555410491
778	0.6554725571
779	0.6553869219
780	0.6552652625
781	0.6551912584
782	0.6550793567
783	0.6550086133
784	0.6548960083
785	0.6548454872
786	0.6547887557
787	0.6547058817
788	0.6546389053
789	0.6546006352
790	0.6545486002
791	0.6543785878
792	0.6541713079
793	0.6540156937
794	0.6538848076
795	0.6538452771
796	0.6537952673
797	0.6536832668
798	0.65362474
799	0.6535601994
800	0.6534624959
801	0.6533572126
802	0.6533025687
803	0.6532262162
804	0.6531323105
805	0.6530174035
806	0.6528851835
807	0.6527733219
808	0.6526225034
809	0.6525818995
810	0.6524204562
811	0.652363319
812	0.6522505614
813	0.6521885474
814	0.6520959311
815	0.6519873196
816	0.6518478245
817	0.6517492781
818	0.6516704991
819	0.6516266941
820	0.6515838055
821	0.6515332628
822	0.651453168
823	0.6513940686
824	0.651257554
825	0.6510022815
826	0.650919329
827	0.6508753491
828	0.650804674
829	0.6506836975
830	0.6505550147
831	0.6504577972
832	0.6503410613
833	0.6502829615
834	0.6502457869
835	0.6501741749
836	0.6501330982
837	0.6500390113
838	0.6498780972
839	0.6496843468
840	0.6496258368
841	0.6495479932
842	0.6494568829
843	0.6494161877
844	0.6493337979
845	0.6492960962
846	0.6492449681
847	0.6491270593
848	0.6491121259
849	0.6490749621
850	0.6489979996
851	0.6489266203
852	0.648814049
853	0.6487532608
854	0.6487142293
855	0.6485974432
856	0.6484879251
857	0.6484146763
858	0.6483375674
859	0.6482875562
860	0.6481598581
861	0.6480809442
862	0.6479631629
863	0.6478570087
864	0.6477954705
865	0.6477496635
866	0.6475952058
867	0.6475439967
868	0.6474793967
869	0.64736564
870	0.6473243186
871	0.6472055806
872	0.6470902411
873	0.6470421576
874	0.6469495419
875	0.6468012592
876	0.6467568519
877	0.6467039203
878	0.6465701755
879	0.6464685875
880	0.646404128
881	0.6463319101
882	0.6462315104
883	0.6461515145
884	0.6460612888
885	0.6458982893
886	0.6457736688
887	0.6455662339
888	0.6455308172
889	0.6454767135
890	0.6453864762
891	0.6453074196
892	0.6452744369
893	0.6452093957
894	0.6451323651
895	0.6450984311
896	0.6450413036
897	0.6449572183
898	0.6449035714
899	0.6448570444
900	0.6448191758
901	0.6446724679
902	0.6445570233
903	0.6444206095
904	0.6443540636
