iter	Passed	Remaining
0	7	7261
1	13	6874
2	20	6759
3	27	6755
4	34	6836
5	41	6870
6	47	6775
7	54	6777
8	61	6738
9	66	6622
10	73	6615
11	79	6529
12	85	6523
13	92	6493
14	97	6424
15	104	6412
16	111	6422
17	117	6411
18	124	6430
19	130	6407
20	136	6364
21	143	6369
22	148	6322
23	154	6291
24	161	6309
25	167	6281
26	174	6282
27	180	6254
28	186	6237
29	193	6243
30	199	6225
31	205	6206
32	210	6162
33	215	6136
34	221	6118
35	228	6117
36	234	6108
37	240	6098
38	248	6111
39	253	6094
40	260	6088
41	266	6073
42	272	6072
43	279	6076
44	285	6059
45	292	6058
46	298	6046
47	304	6030
48	309	6001
49	314	5982
50	319	5954
51	325	5937
52	331	5914
53	336	5887
54	341	5869
55	346	5845
56	351	5818
57	356	5796
58	362	5774
59	367	5764
60	374	5757
61	379	5743
62	385	5733
63	391	5720
64	396	5701
65	401	5686
66	407	5673
67	413	5660
68	418	5642
69	424	5635
70	429	5623
71	435	5608
72	439	5586
73	445	5576
74	450	5559
75	455	5540
76	461	5526
77	466	5512
78	471	5501
79	478	5499
80	483	5486
81	488	5469
82	493	5455
83	498	5438
84	504	5428
85	509	5412
86	514	5400
87	520	5390
88	525	5378
89	531	5377
90	538	5375
91	544	5370
92	549	5356
93	555	5349
94	560	5339
95	566	5338
96	572	5329
97	579	5329
98	584	5318
99	589	5306
100	595	5301
101	600	5287
102	606	5278
103	611	5271
104	616	5259
105	622	5250
106	628	5248
107	634	5241
108	640	5237
109	646	5233
110	653	5231
111	658	5219
112	663	5206
113	668	5196
114	673	5183
115	678	5174
116	684	5164
117	689	5154
118	695	5149
119	701	5144
120	706	5135
121	712	5130
122	720	5134
123	727	5137
124	733	5137
125	740	5137
126	748	5142
127	755	5148
128	762	5148
129	770	5154
130	776	5152
131	784	5160
132	791	5161
133	797	5156
134	804	5157
135	812	5158
136	818	5154
137	824	5153
138	830	5144
139	836	5139
140	841	5129
141	847	5120
142	853	5113
143	859	5108
144	865	5106
145	871	5096
146	876	5087
147	882	5081
148	888	5075
149	894	5069
150	900	5063
151	907	5060
152	912	5051
153	917	5042
154	923	5036
155	930	5034
156	935	5025
157	941	5018
158	948	5017
159	955	5014
160	960	5006
161	966	5000
162	972	4993
163	978	4986
164	983	4976
165	989	4969
166	996	4968
167	1001	4958
168	1006	4949
169	1012	4944
170	1018	4936
171	1024	4933
172	1031	4929
173	1036	4921
174	1042	4916
175	1049	4913
176	1056	4910
177	1061	4903
178	1068	4898
179	1074	4896
180	1080	4887
181	1084	4876
182	1090	4870
183	1095	4860
184	1101	4852
185	1106	4841
186	1111	4831
187	1116	4824
188	1122	4817
189	1128	4809
190	1133	4802
191	1140	4800
192	1147	4796
193	1154	4796
194	1161	4796
195	1170	4800
196	1177	4797
197	1183	4792
198	1189	4789
199	1195	4781
200	1201	4775
201	1206	4766
202	1212	4759
203	1218	4752
204	1223	4745
205	1228	4736
206	1233	4726
207	1238	4717
208	1243	4707
209	1249	4698
210	1254	4692
211	1260	4684
212	1265	4677
213	1271	4671
214	1277	4665
215	1284	4660
216	1291	4659
217	1298	4658
218	1305	4655
219	1311	4649
220	1317	4643
221	1322	4634
222	1328	4627
223	1333	4619
224	1339	4612
225	1345	4606
226	1350	4597
227	1355	4590
228	1360	4580
229	1365	4571
230	1371	4564
231	1376	4555
232	1382	4549
233	1387	4543
234	1393	4536
235	1398	4528
236	1405	4523
237	1410	4516
238	1415	4508
239	1421	4500
240	1427	4494
241	1431	4484
242	1436	4476
243	1441	4467
244	1446	4458
245	1452	4451
246	1458	4444
